,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
33,Nicolet,46.22,272.9,90,51,2.1,2020-10-30 22:21:52
34,Saldanha,-33.01,286.15,66,0,5.1,2020-10-30 22:19:55
35,Paciran,-6.88,299.81,77,96,2.45,2020-10-30 22:21:52
36,Rura,26.48,293.08,26,29,2.15,2020-10-30 22:21:52
37,Ayacucho,-13.16,290.17,53,100,3.15,2020-10-30 22:19:15
38,Kununurra,-15.77,301.15,78,47,1.91,2020-10-30 22:17:36
39,Wani,20.07,293.42,60,0,2.21,2020-10-30 22:21:52
40,Juba,4.85,296.17,80,83,1.38,2020-10-30 22:21:53
41,Qaanaaq,77.48,262.01,83,92,2.5,2020-10-30 22:19:58
42,Grindavik,63.84,277.15,93,90,4.6,2020-10-30 22:21:53
43,Nikolskoye,59.7,280.81,93,90,2.0,2020-10-30 22:19:57
44,Arbazh,57.68,275.38,93,95,2.56,2020-10-30 22:21:53
45,Chumikan,54.72,273.59,93,93,2.3,2020-10-30 22:21:53
46,Sinnamary,5.38,300.75,82,34,5.77,2020-10-30 22:21:53
47,Butaritari,3.07,301.14,78,63,9.01,2020-10-30 22:20:02
48,Najrān,17.49,290.15,33,0,0.58,2020-10-30 22:21:54
49,Taoudenni,22.68,298.99,17,100,4.55,2020-10-30 22:20:45
50,Wick,58.43,280.15,81,2,3.1,2020-10-30 22:21:54
51,Chapais,49.78,263.15,85,1,1.75,2020-10-30 22:17:40
52,Darnah,32.77,293.6,67,17,5.66,2020-10-30 22:21:54
53,Port Alfred,-33.59,287.93,65,79,1.44,2020-10-30 22:20:08
54,Hermanus,-34.42,280.93,90,1,5.22,2020-10-30 22:20:01
55,Carnarvon,-24.87,295.15,78,90,3.6,2020-10-30 22:20:12
56,San Quintín,30.48,296.26,46,100,4.72,2020-10-30 22:21:55
57,Saint-François,46.42,280.39,100,90,1.0,2020-10-30 22:21:55
58,Bredasdorp,-34.53,281.15,81,5,0.5,2020-10-30 22:19:58
59,Albany,42.6,274.06,86,78,1.54,2020-10-30 22:15:55
60,Fortuna,40.6,290.14,62,1,5.1,2020-10-30 22:19:57
61,Altay,47.87,267.41,86,31,0.93,2020-10-30 22:21:55
62,Mar del Plata,-38.0,287.17,67,0,4.1,2020-10-30 22:19:13
63,Vaini,-21.2,296.15,83,40,9.22,2020-10-30 22:19:53
64,Sola,-13.88,299.15,94,90,6.27,2020-10-30 22:20:47
65,Kloulklubed,7.04,299.15,83,75,5.1,2020-10-30 22:21:56
66,Ploemeur,47.73,287.23,93,90,5.1,2020-10-30 22:21:56
67,Turukhansk,65.82,258.1,92,100,3.77,2020-10-30 22:20:32
68,Mataura,-46.19,285.93,98,100,4.47,2020-10-30 22:19:55
69,Kapaa,22.08,301.34,58,1,4.1,2020-10-30 22:19:02
70,Faanui,-16.48,299.38,82,0,5.76,2020-10-30 22:19:57
71,Bilma,18.69,296.85,19,0,3.47,2020-10-30 22:21:56
72,Riyadh,24.69,291.15,48,0,1.88,2020-10-30 22:21:51
73,Esperance,-33.87,287.15,62,0,7.7,2020-10-30 22:20:27
74,Skeldon,5.88,299.87,88,62,4.17,2020-10-30 22:21:57
75,Zhiryatino,53.22,280.28,88,100,0.62,2020-10-30 22:21:57
76,Geraldton,-28.77,293.15,88,90,3.1,2020-10-30 22:19:58
77,Zhangaözen,43.3,282.14,44,0,7.7,2020-10-30 22:16:26
78,Lebu,-37.62,286.41,76,0,5.49,2020-10-30 22:20:17
79,Hobart,-42.88,287.47,81,20,2.6,2020-10-30 22:19:49
80,Leningradskiy,69.38,265.67,94,49,9.11,2020-10-30 22:20:18
81,Faya,18.39,288.14,62,0,1.5,2020-10-30 22:16:35
82,Severo-Kuril'sk,50.68,278.64,90,100,15.12,2020-10-30 22:20:41
83,Ban Chang,12.73,298.15,94,20,2.1,2020-10-30 22:21:58
84,Bonavista,48.65,272.41,74,99,2.1,2020-10-30 22:20:32
85,Vestmannaeyjar,63.44,281.08,75,58,10.64,2020-10-30 22:21:58
86,Mayya,61.73,243.15,74,0,1.0,2020-10-30 22:21:58
87,Port Lincoln,-34.73,287.29,79,44,4.66,2020-10-30 22:20:34
88,Wanning,18.8,297.28,88,62,6.13,2020-10-30 22:21:59
89,Laas,46.62,275.86,100,0,1.0,2020-10-30 22:21:59
90,Isla Aguada,18.78,298.15,83,90,12.3,2020-10-30 22:21:59
91,Fukuechō,32.69,290.05,69,3,9.62,2020-10-30 22:21:59
92,Taltal,-25.4,290.97,56,22,3.07,2020-10-30 22:21:59
93,Leer,8.3,296.47,88,100,1.83,2020-10-30 22:22:00
94,Mareeba,-17.0,299.27,80,25,0.89,2020-10-30 22:22:00
95,Harper,4.38,298.57,90,100,3.68,2020-10-30 22:22:00
96,Cape Town,-33.93,287.04,58,0,9.8,2020-10-30 22:21:07
97,Uyuni,-20.46,287.34,23,2,6.43,2020-10-30 22:22:00
98,Ternate,0.8,301.13,75,50,2.21,2020-10-30 22:22:01
99,The Pas,53.83,269.15,85,90,6.7,2020-10-30 22:22:01
100,Moose Jaw,50.4,284.64,53,88,8.7,2020-10-30 22:22:01
101,Longyearbyen,78.22,265.15,72,0,1.5,2020-10-30 22:22:01
102,Pevek,69.7,267.12,95,91,2.74,2020-10-30 22:20:12
103,Bluff,-46.6,285.93,98,100,4.47,2020-10-30 22:19:57
104,East London,-33.02,289.81,69,100,1.26,2020-10-30 22:20:10
105,Norman Wells,65.28,263.15,92,90,2.1,2020-10-30 22:20:37
106,Sapa,5.15,300.03,81,90,3.78,2020-10-30 22:22:02
107,Luba,3.46,298.15,100,40,2.6,2020-10-30 22:22:02
108,Vanimo,-2.67,299.32,77,100,3.1,2020-10-30 22:22:02
109,Poum,-20.23,299.01,78,20,8.64,2020-10-30 22:20:39
110,Hofn,64.25,278.75,86,76,3.08,2020-10-30 22:20:00
111,Alice Springs,-23.7,288.15,28,2,7.09,2020-10-30 22:21:56
112,Beloha,-25.17,292.99,56,0,5.7,2020-10-30 22:22:02
113,Kaifeng,34.79,286.15,93,90,2.0,2020-10-30 22:22:03
114,Makkah al Mukarramah,21.43,297.8,64,0,1.2,2020-10-30 22:21:40
115,Acajutla,13.59,304.15,52,20,1.0,2020-10-30 22:19:31
116,Sabang,5.89,300.92,77,61,7.25,2020-10-30 22:22:03
117,Dikson,73.51,262.93,95,100,12.86,2020-10-30 22:20:23
118,Port Elizabeth,-33.92,283.15,81,0,1.5,2020-10-30 22:20:00
119,Hakkâri Province,37.58,282.24,49,99,0.21,2020-10-30 22:22:03
120,Holme,56.11,284.35,100,97,1.5,2020-10-30 22:22:03
121,Coquimbo,-29.95,287.15,76,20,5.7,2020-10-30 22:21:31
122,Det Udom,14.91,297.15,94,0,2.1,2020-10-30 22:22:04
123,Ponta do Sol,32.67,292.95,73,20,7.2,2020-10-30 22:20:10
124,Ilulissat,69.22,265.15,72,100,1.5,2020-10-30 22:20:39
125,Castro,-24.79,285.57,93,100,4.9,2020-10-30 22:19:04
126,Pekan,3.48,298.15,94,20,1.0,2020-10-30 22:22:04
127,Bethel,41.37,274.81,80,90,3.1,2020-10-30 22:22:04
128,Chokurdakh,70.63,260.15,95,100,3.27,2020-10-30 22:20:08
129,Touros,-5.2,299.15,78,40,3.6,2020-10-30 22:20:17
130,Avarua,-21.21,297.15,78,99,7.2,2020-10-30 22:19:57
131,Bud,39.45,281.0,49,1,3.1,2020-10-30 22:22:05
132,Hualmay,-11.1,291.57,78,99,2.97,2020-10-30 22:22:05
133,Soto la Marina,23.77,298.15,39,0,3.13,2020-10-30 22:22:05
134,Dhārchula,29.85,285.8,33,0,2.67,2020-10-30 22:17:08
135,Mo i Rana,66.31,276.15,59,0,5.7,2020-10-30 22:22:05
136,Kavaratti,10.57,300.99,74,73,4.72,2020-10-30 22:22:05
137,Scarborough,54.28,280.12,93,100,1.0,2020-10-30 22:22:05
138,Guerrero Negro,27.98,299.88,27,26,5.44,2020-10-30 22:20:13
139,Srednekolymsk,67.45,255.71,91,23,0.75,2020-10-30 22:22:06
140,Upernavik,72.79,266.98,95,93,0.91,2020-10-30 22:20:07
141,Khorramshahr,30.44,290.15,51,0,2.98,2020-10-30 22:22:06
142,Cururupu,-1.83,297.44,84,21,1.52,2020-10-30 22:17:59
143,Ziro,27.63,282.92,61,28,1.44,2020-10-30 22:22:06
144,Ballina,-28.87,296.78,83,88,5.7,2020-10-30 22:22:07
145,Iqaluit,63.75,259.98,71,75,1.16,2020-10-30 22:20:44
146,Panalingaan,8.78,299.8,84,87,3.33,2020-10-30 22:22:07
147,Kaitangata,-46.28,288.76,78,100,1.68,2020-10-30 22:20:14
148,Cherskiy,68.75,258.17,91,100,2.49,2020-10-30 22:20:17
149,Kropotkin,45.44,290.37,70,87,0.92,2020-10-30 22:22:07
150,Santa Maria da Vitória,-13.39,296.95,77,65,1.05,2020-10-30 22:22:07
151,Dunedin,-45.87,290.65,59,100,2.23,2020-10-30 22:18:57
152,Sangar,63.92,248.12,87,13,1.0,2020-10-30 22:19:59
153,Cabo San Lucas,22.89,300.81,57,40,4.1,2020-10-30 22:20:02
154,Bairiki Village,1.33,303.15,70,20,6.7,2020-10-30 22:22:08
155,Tura,25.52,294.76,87,82,1.94,2020-10-30 22:20:25
156,Tubualá,9.52,297.29,74,40,3.6,2020-10-30 22:22:08
157,Tessalit,20.2,298.87,17,35,5.39,2020-10-30 22:20:18
158,Clyde River,70.47,263.15,92,75,6.2,2020-10-30 22:19:58
159,Puerto Ayora,-0.74,296.74,69,20,7.7,2020-10-30 22:19:57
160,Hong Kong,22.29,294.15,82,88,6.73,2020-10-30 22:19:51
161,Bathsheba,13.22,301.15,78,40,9.8,2020-10-30 22:22:09
162,Nome,64.5,268.05,85,40,2.1,2020-10-30 22:17:25
163,Lexington,37.99,281.71,61,1,2.6,2020-10-30 22:17:25
164,Khuzhir,53.19,272.02,85,100,4.28,2020-10-30 22:22:09
165,Hamilton,39.18,281.35,56,90,2.1,2020-10-30 22:18:56
166,Margate,51.38,287.59,89,88,1.79,2020-10-30 22:22:09
167,Along,28.17,290.56,49,28,0.65,2020-10-30 22:22:09
168,Talnakh,69.49,262.15,78,40,11.0,2020-10-30 22:22:09
169,Antofagasta,-23.65,290.15,67,20,7.2,2020-10-30 22:17:55
170,Hithadhoo,-0.6,301.48,76,85,4.68,2020-10-30 22:20:11
171,Ōdachō-ōda,35.18,281.15,87,75,2.6,2020-10-30 22:22:10
172,Qaqortoq,60.72,269.15,73,40,1.5,2020-10-30 22:22:10
173,Codrington,-38.27,285.92,84,34,5.73,2020-10-30 22:20:38
174,Ebebiyin,2.15,293.92,98,98,0.6,2020-10-30 22:22:10
175,Khovd,48.01,270.56,80,6,1.65,2020-10-30 22:20:54
176,Launceston,-41.45,286.61,87,90,3.1,2020-10-30 22:22:10
177,Nuevo Progreso,23.17,297.36,38,0,3.58,2020-10-30 22:22:11
178,Kieta,-6.22,301.04,75,91,2.11,2020-10-30 22:22:11
179,Ancud,-41.87,290.15,55,0,3.6,2020-10-30 22:20:35
180,Parangan,5.08,300.8,79,94,4.26,2020-10-30 22:22:11
181,Athabasca,54.72,271.15,86,100,2.6,2020-10-30 22:22:11
182,Bengkulu,-3.8,297.04,87,65,1.59,2020-10-30 22:20:18
183,Salto,-31.38,292.53,49,0,5.1,2020-10-30 22:21:03
184,Fort-Shevchenko,44.51,286.21,41,0,8.23,2020-10-30 22:22:12
185,North Bend,43.41,287.6,93,90,3.6,2020-10-30 22:22:12
186,Shunyi,40.12,283.74,87,0,1.0,2020-10-30 22:22:12
187,Korāput,18.82,290.0,62,60,0.81,2020-10-30 22:22:12
188,Panabá,21.28,298.05,89,80,6.44,2020-10-30 22:22:12
189,Sault Ste. Marie,46.52,273.29,55,90,4.6,2020-10-30 22:22:12
190,Shostka,51.86,280.71,82,100,0.63,2020-10-30 22:22:13
191,Labuan,5.28,297.15,94,20,1.0,2020-10-30 22:20:27
192,Yining,29.04,289.29,88,99,1.21,2020-10-30 22:22:13
193,Santa Cruz Cabrália,-16.28,298.15,78,0,4.1,2020-10-30 22:22:13
194,Burns Lake,54.23,277.15,64,6,3.1,2020-10-30 22:20:21
195,Northam,51.03,287.03,97,100,6.26,2020-10-30 22:20:17
196,Berlevåg,70.86,272.7,80,75,3.6,2020-10-30 22:19:53
197,Arlit,18.74,299.78,16,0,6.69,2020-10-30 22:22:14
198,La Gomera,14.08,305.15,62,40,3.1,2020-10-30 22:22:14
199,Lorengau,-2.02,301.89,70,95,1.42,2020-10-30 22:20:28
200,Sukumo,32.93,283.13,77,0,1.64,2020-10-30 22:22:15
201,Caravelas,-17.71,297.83,81,98,3.58,2020-10-30 22:18:12
202,Cairns,-16.92,300.82,69,75,1.0,2020-10-30 22:22:15
203,Brae,60.4,283.15,71,39,9.8,2020-10-30 22:22:15
204,Mandalgovi,45.76,268.86,79,0,5.16,2020-10-30 22:22:16
205,Comodoro Rivadavia,-45.87,294.15,32,0,5.1,2020-10-30 22:20:39
206,Presidencia Roque Sáenz Peña,-26.79,293.72,51,36,3.55,2020-10-30 22:22:16
207,Maraã,-1.83,301.19,79,93,1.44,2020-10-30 22:22:16
208,Houma,29.6,290.35,59,1,4.1,2020-10-30 22:22:16
209,Hervey Bay,-25.3,300.49,65,40,8.2,2020-10-30 22:19:23
210,Marsh Harbour,26.54,300.62,77,3,4.4,2020-10-30 22:22:17
211,Walvis Bay,-22.96,286.3,71,57,2.1,2020-10-30 22:20:14
212,Imeni Zhelyabova,58.95,278.83,89,97,1.5,2020-10-30 22:20:35
213,Garden City,42.33,276.23,59,90,3.1,2020-10-30 22:22:18
214,Chabahar,25.29,291.15,55,0,2.19,2020-10-30 22:22:18
215,Flin Flon,54.77,267.15,85,90,4.1,2020-10-30 22:22:18
216,Dukat,62.55,260.34,90,68,1.94,2020-10-30 22:22:18
217,Khatanga,71.97,250.11,84,0,2.84,2020-10-30 22:20:04
218,Porto-Novo,6.5,301.15,83,20,4.1,2020-10-30 22:20:58
219,Ambon City,-3.7,298.15,16,11,4.2,2020-10-30 22:19:51
220,Lavrentiya,65.58,267.83,86,100,3.58,2020-10-30 22:22:19
221,Aksarka,66.56,274.47,99,100,7.32,2020-10-30 22:22:19
222,Kendari,-3.94,297.51,91,100,2.13,2020-10-30 22:22:20
223,San Cristobal,7.77,303.15,62,40,5.1,2020-10-30 22:20:15
224,Santa Lucía,27.91,296.63,56,0,4.6,2020-10-30 22:20:29
225,Ouésso,1.61,294.32,96,44,0.17,2020-10-30 22:20:39
226,Rivadavia,-33.19,298.15,18,0,2.1,2020-10-30 22:18:33
227,Bereda,43.27,285.93,100,0,3.13,2020-10-30 22:22:20
228,Clearwater,27.97,294.32,60,0,4.6,2020-10-30 22:20:37
229,Atar,20.52,302.88,16,25,4.05,2020-10-30 22:20:08
230,Itarema,-2.92,299.21,77,40,6.24,2020-10-30 22:22:21
231,Saskylakh,71.92,254.17,83,0,2.51,2020-10-30 22:20:34
232,Nichinan,31.6,284.15,81,20,3.6,2020-10-30 22:22:21
233,Antropovo,58.4,275.45,91,98,1.5,2020-10-30 22:22:21
234,Mahébourg,-20.41,293.15,56,40,7.2,2020-10-30 22:20:24
235,Liverpool,53.41,282.07,93,20,2.6,2020-10-30 22:17:57
236,Bārmer,25.75,296.48,20,0,2.69,2020-10-30 22:22:22
237,Cartagena,10.4,303.15,74,20,3.6,2020-10-30 22:20:47
238,Shimoda,34.67,285.37,52,0,5.79,2020-10-30 22:20:22
239,Westport,41.14,276.35,80,90,3.6,2020-10-30 22:18:05
240,Guia Lopes da Laguna,-21.46,297.27,67,38,2.93,2020-10-30 22:22:22
241,Pangnirtung,66.15,262.15,78,20,1.0,2020-10-30 22:22:22
242,Bam,29.11,287.54,31,0,2.76,2020-10-30 22:22:22
243,Constantine,36.37,283.15,76,0,1.0,2020-10-30 22:22:23
244,Craig,40.52,286.77,35,1,3.1,2020-10-30 22:22:23
245,Nikolaevo,42.63,281.14,70,40,5.1,2020-10-30 22:22:23
246,Padrauna,26.9,295.44,62,0,2.63,2020-10-30 22:22:23
247,Nuuk,64.18,268.43,85,20,4.1,2020-10-30 22:22:23
248,Marsá Maţrūḩ,31.35,295.15,64,75,3.6,2020-10-30 22:20:42
249,Isangel,-19.55,299.15,83,75,2.6,2020-10-30 22:20:05
250,Fort Nelson,58.81,268.15,79,90,4.1,2020-10-30 22:20:23
251,Tuatapere,-46.13,285.93,98,100,4.92,2020-10-30 22:20:34
252,Lanquín,15.57,296.15,64,40,2.1,2020-10-30 22:22:24
253,São Gabriel da Cachoeira,-0.13,301.43,79,68,1.16,2020-10-30 22:22:24
254,Cayenne,4.93,302.15,83,0,2.6,2020-10-30 22:22:00
255,Black River,18.03,302.11,79,20,5.7,2020-10-30 22:22:24
256,Tiksi,71.69,260.27,95,100,2.17,2020-10-30 22:20:15
257,Maceió,-9.67,298.15,88,75,4.1,2020-10-30 22:15:21
258,Åmot,59.57,277.59,94,100,0.64,2020-10-30 22:22:24
259,Roald,62.58,281.17,87,98,7.7,2020-10-30 22:22:24
260,Saint-Pierre,-21.34,290.21,77,40,2.6,2020-10-30 22:22:25
261,Kachug,53.96,267.88,91,100,0.72,2020-10-30 22:22:25
262,Stornoway,58.21,281.06,87,34,6.7,2020-10-30 22:22:25
263,Děčín,50.78,284.6,97,100,1.34,2020-10-30 22:22:25
264,Kota Kinabalu,5.97,297.1,94,20,1.5,2020-10-30 22:22:25
265,Souillac,-20.52,293.15,56,40,7.2,2020-10-30 22:20:14
266,Leshukonskoye,64.9,274.06,92,81,3.86,2020-10-30 22:22:25
267,Thunder Bay,48.4,275.91,40,20,2.1,2020-10-30 22:22:16
268,Ostrovnoy,68.05,274.61,88,95,7.64,2020-10-30 22:21:06
269,Tobol,52.68,274.57,85,45,3.16,2020-10-30 22:22:26
270,Makakilo City,21.35,301.66,58,20,5.7,2020-10-30 22:20:28
271,Uchiza,-8.46,299.16,76,100,1.01,2020-10-30 22:22:26
272,Aykino,62.22,275.42,89,100,4.22,2020-10-30 22:22:26
273,Deputatsky,69.3,256.94,95,100,0.58,2020-10-30 22:20:12
274,Sorsk,54.0,270.8,96,100,3.49,2020-10-30 22:22:27
275,Kupang,-10.17,300.24,75,92,3.04,2020-10-30 22:19:17
276,Krasnyy Chikoy,50.36,267.89,95,76,1.83,2020-10-30 22:22:27
277,Ossora,59.24,273.25,90,28,0.77,2020-10-30 22:22:27
278,Plettenberg Bay,-34.05,285.32,67,0,1.66,2020-10-30 22:22:27
279,Charters Towers,-20.1,298.77,42,0,4.83,2020-10-30 22:22:27
280,Qurayyat,31.33,292.15,24,0,2.1,2020-10-30 22:22:28
281,Lasem,-6.69,299.44,79,99,2.26,2020-10-30 22:22:28
282,Mahon,39.89,290.15,88,0,2.6,2020-10-30 22:22:28
283,Zorritos,-3.68,296.29,72,96,5.07,2020-10-30 22:22:28
284,Coyhaique,-45.58,296.15,31,0,1.5,2020-10-30 22:22:28
285,Nurobod,40.91,279.15,45,0,2.1,2020-10-30 22:22:28
286,América Dourada,-11.46,297.24,63,100,3.15,2020-10-30 22:22:29
287,Sabaudia,41.3,286.32,83,27,0.89,2020-10-30 22:22:29
288,Suslovo,56.22,270.94,99,100,0.57,2020-10-30 22:21:08
289,Biak,-0.91,298.58,79,97,2.59,2020-10-30 22:22:29
290,Willmar,45.12,279.87,81,1,7.2,2020-10-30 22:22:29
291,Pedra,-8.5,297.16,67,100,5.76,2020-10-30 22:22:29
292,Chui,-33.7,285.7,84,69,3.09,2020-10-30 22:20:16
293,Sioux Lookout,50.1,271.15,79,90,3.6,2020-10-30 22:22:30
294,Liku,-0.73,296.94,76,83,1.06,2020-10-30 22:20:29
295,Labuhan,-6.88,299.65,77,93,2.62,2020-10-30 22:22:30
296,Savannah Bight,16.45,303.15,70,40,2.1,2020-10-30 22:22:30
297,Stettler,52.32,278.99,81,100,3.6,2020-10-30 22:22:30
298,Alexander City,32.94,289.8,51,1,4.6,2020-10-30 22:22:30
299,Nabire,-3.37,297.46,84,82,1.53,2020-10-30 22:20:33
300,Santa Barbara,34.73,300.98,26,1,4.1,2020-10-30 22:22:31
301,Bridlington,54.08,281.24,93,100,1.0,2020-10-30 22:22:31
302,Methóni,36.82,288.83,87,0,2.35,2020-10-30 22:22:31
303,Kharp,66.8,274.81,94,100,3.55,2020-10-30 22:22:31
304,Cabedelo,-6.98,299.15,83,20,4.1,2020-10-30 22:20:29
305,Zeya,53.75,269.53,95,100,1.71,2020-10-30 22:22:32
306,Quilmaná,-12.95,292.78,70,86,2.56,2020-10-30 22:22:32
307,College,64.86,261.84,85,90,0.89,2020-10-30 22:15:19
308,Ørnes,66.87,277.34,56,0,4.6,2020-10-30 22:22:32
309,Visnes,59.36,283.15,81,37,5.7,2020-10-30 22:22:32
310,Saint-Augustin,51.23,271.23,84,0,4.75,2020-10-30 22:15:49
311,Mount Gambier,-37.83,285.15,81,90,4.6,2020-10-30 22:22:32
312,Safford,32.83,295.41,22,1,3.98,2020-10-30 22:22:32
313,Kutum,14.2,297.67,25,68,4.77,2020-10-30 22:20:29
314,Abu Samrah,35.3,291.29,63,99,1.16,2020-10-30 22:22:33
315,Tasiilaq,65.61,275.15,80,100,9.8,2020-10-30 22:20:04
316,Tual,-5.67,301.85,69,68,3.6,2020-10-30 22:22:33
317,Tumpat,6.2,298.15,94,20,1.0,2020-10-30 22:22:33
318,Dzhebariki-Khaya,62.22,252.59,90,54,1.39,2020-10-30 22:22:33
319,West Wendover,40.74,287.15,26,1,1.6,2020-10-30 22:22:34
320,Arraial do Cabo,-22.97,297.15,88,75,5.1,2020-10-30 22:20:03
321,Atbasar,51.8,273.29,89,0,1.72,2020-10-30 22:22:34
322,Saint George,37.1,297.84,16,1,1.01,2020-10-30 22:22:34
323,Kourou,5.16,302.15,83,0,2.6,2020-10-30 22:22:34
324,Champerico,14.3,299.62,66,40,2.1,2020-10-30 22:22:34
325,Pisco,-13.7,291.92,72,75,5.7,2020-10-30 22:20:45
326,Mongo,12.18,304.2,28,81,1.43,2020-10-30 22:22:34
327,Viçosa,-20.75,295.37,99,100,0.45,2020-10-30 22:22:35
328,Gumdag,39.21,285.45,34,0,7.88,2020-10-30 22:22:35
329,Douglas,41.3,287.36,38,1,3.1,2020-10-30 22:22:35
330,Bovolone,45.25,283.74,93,33,2.6,2020-10-30 22:22:35
331,Kahului,20.89,301.12,52,40,10.3,2020-10-30 22:19:23
332,Honiara,-9.43,300.15,88,40,1.0,2020-10-30 22:22:35
333,Gizo Government Station,-8.1,301.5,70,96,3.44,2020-10-30 22:22:35
334,Lompoc,34.64,292.75,72,1,6.2,2020-10-30 22:17:19
335,Flinders,-34.58,291.16,93,100,2.68,2020-10-30 22:16:11
336,Yulara,-25.24,287.15,35,0,2.6,2020-10-30 22:19:54
337,Harbour Breton,47.48,277.04,100,97,7.71,2020-10-30 22:20:20
338,Tsimmerbude,54.67,281.62,100,75,2.0,2020-10-30 22:22:36
339,Fairview,40.81,277.94,86,40,3.03,2020-10-30 22:22:36
340,Manacapuru,-3.3,303.15,66,20,2.1,2020-10-30 22:22:36
341,Mirante do Paranapanema,-22.29,295.15,64,40,9.3,2020-10-30 22:22:36
342,Amursk,50.23,274.05,92,91,5.07,2020-10-30 22:22:36
343,Sur,22.57,294.77,64,0,1.86,2020-10-30 22:22:36
344,Mae Hong Son,19.3,294.46,88,74,0.77,2020-10-30 22:22:37
345,Assiniboia,49.63,284.15,50,88,6.7,2020-10-30 22:22:37
346,Saint Anthony,45.02,279.76,42,1,4.1,2020-10-30 22:20:33
347,Pacific Grove,36.62,290.39,72,1,2.6,2020-10-30 22:18:00
348,Banjar,-8.19,298.54,79,57,1.05,2020-10-30 22:22:37
349,Peace River,56.25,271.15,92,90,8.2,2020-10-30 22:22:38
350,Rawson,-43.3,293.52,25,0,7.3,2020-10-30 22:22:38
351,Vernon,50.26,283.91,53,98,2.1,2020-10-30 22:17:57
352,Mount Isa,-20.73,294.15,28,0,3.6,2020-10-30 22:22:38
353,Port Hardy,50.7,283.15,71,75,2.6,2020-10-30 22:22:38
354,Goderich,43.75,275.15,59,98,6.2,2020-10-30 22:22:38
355,Broome,42.25,273.71,59,1,4.1,2020-10-30 22:20:09
356,São João da Barra,-21.64,297.15,94,75,5.1,2020-10-30 22:20:31
357,Mogadishu,2.04,299.43,80,46,5.63,2020-10-30 22:20:24
358,Ulladulla,-35.35,288.79,100,90,5.7,2020-10-30 22:22:39
359,Mweka,-4.85,293.18,84,12,0.16,2020-10-30 22:22:39
360,Tymovskoye,50.85,273.05,94,100,1.12,2020-10-30 22:22:39
361,Darhan,49.49,271.4,95,75,1.25,2020-10-30 22:22:39
362,Yenagoa,4.92,297.88,92,19,1.7,2020-10-30 22:22:39
363,Port Hawkesbury,45.62,274.22,64,90,2.1,2020-10-30 22:22:39
364,Barrhead,55.8,278.0,93,30,2.6,2020-10-30 22:22:39
365,Klaksvík,62.23,281.15,93,18,7.7,2020-10-30 22:22:40
366,Solnechnyy,50.72,272.63,92,74,1.03,2020-10-30 22:20:07
367,Torbay,47.67,274.62,59,75,7.7,2020-10-30 22:20:16
368,Felanitx,39.47,287.06,100,0,0.5,2020-10-30 22:22:40
